low_gc_edge,high_gc_edge,gc_delta,h_high_minus_low,cs_low_minus_high,predicted_cs_sign,discovery_observed_reversal
^KS11+^N225->IMOEX.ME+^NZ50,^KS11+^NZ50->000001.SS+^HSI,0.00016416169367516886,0.5869868164977524,-4.104195953386465e-05,1,0
^KS11+^N225->IMOEX.ME+^NZ50,^KS11+^NZ50->IMOEX.ME+^HSI,0.00017492218326253806,0.4451626561644114,-4.373798237847489e-05,1,0
^KS11+^N225->IMOEX.ME+^NZ50,^AXJO+^NZ50->^HSI+^KS11,0.0002767414625033382,0.41827943719578686,-6.920569327880356e-05,1,0
^KS11+^NZ50->^STI+^STOXX50E,^AXJO+^N225->000001.SS+^HSI,8.339995491013497e-05,-0.3029671337008629,-2.0869353965683688e-05,-1,0
^KS11+^NZ50->^STI+^STOXX50E,^KS11+^NZ50->000001.SS+^HSI,0.00012012838089958677,0.4725184047409552,-3.003122000317827e-05,1,0
^KS11+^NZ50->^STI+^STOXX50E,^KS11+^NZ50->IMOEX.ME+^HSI,0.00013088887048695597,0.3306942444076142,-3.272724284778851e-05,1,0
^KS11+^NZ50->^STI+^STOXX50E,^HSI+^NZ50->IMOEX.ME+^STI,0.00019863964526933842,-0.3059346569387792,-4.9698002415959344e-05,-1,0
^KS11+^NZ50->^STI+^STOXX50E,^KS11+^NZ50->IMOEX.ME+^STI,0.00021787833798114775,-0.30882359430938366,-5.451114852064189e-05,-1,0
^KS11+^NZ50->^STI+^STOXX50E,^AXJO+^NZ50->^HSI+^KS11,0.0002327081497277561,0.30381102543898963,-5.819495374811718e-05,1,0
^KS11+^NZ50->^STI+^STOXX50E,^AXJO+^N225->399001.SZ+^HSI,0.00024223079341112452,-0.2944096384298977,-6.0602981093688644e-05,-1,0
^KS11+^NZ50->^STI+^STOXX50E,^N225+^NZ50->IMOEX.ME+^STOXX50E,0.0002600754683186324,-0.3070186784698598,-6.506795625623932e-05,-1,0
^KS11+^NZ50->^STI+^STOXX50E,^AXJO+^N225->^HSI+^KS11,0.00027156253652194096,-0.301086147207084,-6.79415743094397e-05,-1,0
^DJI+^HSI->^AXJO+^GSPC,^KS11+^NZ50->000001.SS+^HSI,0.00011300859769391991,0.5251258927108753,-2.8249136099109813e-05,1,0
^DJI+^HSI->^AXJO+^GSPC,^KS11+^NZ50->IMOEX.ME+^HSI,0.0001237690872812891,0.38330173237753434,-3.094515894372005e-05,1,0
^DJI+^HSI->^AXJO+^GSPC,^AXJO+^NZ50->^HSI+^KS11,0.00022558836652208925,0.3564185134089098,-5.641286984404872e-05,1,0
^AXJO+^N225->000001.SS+^HSI,^KS11+^NZ50->000001.SS+^HSI,3.672842598945181e-05,0.7754855384418181,-9.161866037494582e-06,1,0
^AXJO+^N225->000001.SS+^HSI,^KS11+^NZ50->IMOEX.ME+^HSI,4.7488915576821e-05,0.6336613781084771,-1.1857888882104822e-05,1,0
^AXJO+^N225->000001.SS+^HSI,IMOEX.ME+^DJI->399001.SZ+^GSPC,0.0001397809856698018,0.43632464648228014,-3.494978829241311e-05,1,0
^AXJO+^N225->000001.SS+^HSI,^AXJO+^NZ50->^HSI+^KS11,0.00014930819481762114,0.6067781591398526,-3.732559978243349e-05,1,0
^AXJO+^N225->000001.SS+^HSI,^N225+^NZ50->IMOEX.ME+^KS11,0.00017417430857236127,0.2977406642203,-4.3559212209969765e-05,1,0
^AXJO+^N225->000001.SS+^HSI,^KS11+^N225->399001.SZ+^STOXX50E,0.00025675275919923024,0.8534535968815288,-6.418773824513823e-05,1,0
^KS11+^NZ50->000001.SS+^HSI,^HSI+^NZ50->IMOEX.ME+^STI,7.851126436975164e-05,-0.7784530616797344,-1.9666782412781073e-05,-1,0
^KS11+^NZ50->000001.SS+^HSI,^KS11+^NZ50->IMOEX.ME+^STI,9.774995708156098e-05,-0.7813419990503389,-2.447992851746362e-05,-1,0
^KS11+^NZ50->000001.SS+^HSI,IMOEX.ME+^DJI->399001.SZ+^GSPC,0.00010305255968034999,-0.33916089195953797,-2.5787922254918527e-05,-1,0
^KS11+^NZ50->000001.SS+^HSI,^N225+^NZ50->000001.SS+^HSI,0.00010981415675104245,-0.7090272575366356,-2.7495034758387866e-05,-1,0
^KS11+^NZ50->000001.SS+^HSI,^AXJO+^N225->399001.SZ+^HSI,0.00012210241251153775,-0.766928043170853,-3.0571761090510374e-05,-1,0
^KS11+^NZ50->000001.SS+^HSI,^N225+^NZ50->IMOEX.ME+^KS11,0.00013744588258290946,-0.4777448742215181,-3.439734617247518e-05,-1,0
^KS11+^NZ50->000001.SS+^HSI,^N225+^NZ50->IMOEX.ME+^STOXX50E,0.0001399470874190456,-0.779537083210815,-3.503673625306105e-05,-1,0
^KS11+^NZ50->000001.SS+^HSI,^AXJO+^N225->^HSI+^KS11,0.00015143415562235418,-0.7736045519480391,-3.7910354306261435e-05,-1,0
^KS11+^NZ50->000001.SS+^HSI,^KS11+^NZ50->399001.SZ+^STOXX50E,0.00017879463158010367,-0.6861559134474418,-4.4751333688641516e-05,-1,0
^KS11+^NZ50->000001.SS+^HSI,^KS11+^NZ50->IMOEX.ME+^STOXX50E,0.00022436131206760024,-0.7211836943304561,-5.615337306465496e-05,-1,0
^KS11+^NZ50->000001.SS+^HSI,^KS11+^N225->IMOEX.ME+^HSI,0.0003015704334252689,-0.7752243837162099,-7.547449728877514e-05,-1,0
^KS11+^NZ50->IMOEX.ME+^HSI,^HSI+^NZ50->IMOEX.ME+^STI,6.775077478238245e-05,-0.6366289013463934,-1.6970759568170834e-05,-1,0
^KS11+^NZ50->IMOEX.ME+^HSI,^KS11+^NZ50->IMOEX.ME+^STI,8.698946749419179e-05,-0.6395178387169979,-2.178390567285338e-05,-1,0
^KS11+^NZ50->IMOEX.ME+^HSI,^N225+^NZ50->000001.SS+^HSI,9.905366716367325e-05,-0.5672030972032946,-2.4799011913777627e-05,-1,0
^KS11+^NZ50->IMOEX.ME+^HSI,^AXJO+^N225->399001.SZ+^HSI,0.00011134192292416856,-0.625103882837512,-2.7875738245900135e-05,-1,0
^KS11+^NZ50->IMOEX.ME+^HSI,^N225+^NZ50->IMOEX.ME+^KS11,0.00012668539299554027,-0.3359207138881771,-3.170132332786494e-05,-1,0
^KS11+^NZ50->IMOEX.ME+^HSI,^N225+^NZ50->IMOEX.ME+^STOXX50E,0.0001291865978316764,-0.637712922877474,-3.234071340845081e-05,-1,0
^KS11+^NZ50->IMOEX.ME+^HSI,^AXJO+^N225->^HSI+^KS11,0.000140673666034985,-0.6317803916146981,-3.5214331461651195e-05,-1,0
^KS11+^NZ50->IMOEX.ME+^HSI,^KS11+^NZ50->399001.SZ+^STOXX50E,0.00016803414199273448,-0.5443317531141008,-4.205531084403128e-05,-1,0
^KS11+^NZ50->IMOEX.ME+^HSI,^KS11+^NZ50->IMOEX.ME+^STOXX50E,0.00021360082248023105,-0.5793595339971152,-5.3457350220044724e-05,-1,0
^KS11+^NZ50->IMOEX.ME+^HSI,^KS11+^N225->IMOEX.ME+^HSI,0.0002908099438378997,-0.6334002233828689,-7.27784744441649e-05,-1,0
^HSI+^NZ50->IMOEX.ME+^STI,IMOEX.ME+^DJI->399001.SZ+^GSPC,2.4541295310598343e-05,0.4392921697201964,-6.121139842137454e-06,1,0
^HSI+^NZ50->IMOEX.ME+^STI,^AXJO+^NZ50->^HSI+^KS11,3.406850445841769e-05,0.6097456823777688,-8.496951332157834e-06,1,0
^HSI+^NZ50->IMOEX.ME+^STI,^N225+^NZ50->IMOEX.ME+^KS11,5.893461821315782e-05,0.30070818745821626,-1.473056375969411e-05,1,0
^HSI+^NZ50->IMOEX.ME+^STI,^KS11+^N225->399001.SZ+^STOXX50E,0.0001415130688400268,0.856421120119445,-3.535908979486257e-05,1,0
^HSI+^NZ50->IMOEX.ME+^STI,^N225+^NZ50->IMOEX.ME+^HSI,0.00023456368502650093,0.6478625628243074,-5.8645857104178774e-05,1,0
^KS11+^NZ50->IMOEX.ME+^STI,IMOEX.ME+^DJI->399001.SZ+^GSPC,5.302602598789008e-06,0.4421811070908009,-1.3079937374549063e-06,1,0
^KS11+^NZ50->IMOEX.ME+^STI,^AXJO+^NZ50->^HSI+^KS11,1.4829811746608357e-05,0.6126346197483733,-3.683805227475286e-06,1,0
^KS11+^NZ50->IMOEX.ME+^STI,^N225+^NZ50->IMOEX.ME+^KS11,3.9695925501348484e-05,0.30359712482882073,-9.917417655011561e-06,1,0
^KS11+^NZ50->IMOEX.ME+^STI,^KS11+^N225->399001.SZ+^STOXX50E,0.00012227437612821745,0.8593100574900495,-3.054594369018002e-05,1,0
^KS11+^NZ50->IMOEX.ME+^STI,^N225+^NZ50->IMOEX.ME+^HSI,0.0002153249923146916,0.6507515001949119,-5.3832710999496226e-05,1,0
IMOEX.ME+^DJI->399001.SZ+^GSPC,^N225+^NZ50->000001.SS+^HSI,6.76159707069246e-06,-0.3698663655770976,-1.7071125034693387e-06,-1,0
IMOEX.ME+^DJI->399001.SZ+^GSPC,^AXJO+^N225->399001.SZ+^HSI,1.9049852831187764e-05,-0.4277671512113149,-4.783838835591847e-06,-1,0
IMOEX.ME+^DJI->399001.SZ+^GSPC,^N225+^NZ50->IMOEX.ME+^STOXX50E,3.6894527738695615e-05,-0.440376191251277,-9.248813998142521e-06,-1,0
IMOEX.ME+^DJI->399001.SZ+^GSPC,^AXJO+^N225->^HSI+^KS11,4.8381595942004196e-05,-0.4344436599885012,-1.2122432051342907e-05,-1,0
IMOEX.ME+^DJI->399001.SZ+^GSPC,^KS11+^NZ50->399001.SZ+^STOXX50E,7.574207189975368e-05,-0.3469950214879038,-1.896341143372299e-05,-1,0
IMOEX.ME+^DJI->399001.SZ+^GSPC,^KS11+^N225->399001.SZ+^STOXX50E,0.00011697177352942845,0.41712895039924863,-2.9237949952725116e-05,1,0
IMOEX.ME+^DJI->399001.SZ+^GSPC,^KS11+^NZ50->IMOEX.ME+^STOXX50E,0.00012130875238725025,-0.38202280237091824,-3.0365450809736436e-05,-1,0
IMOEX.ME+^DJI->399001.SZ+^GSPC,^KS11+^N225->IMOEX.ME+^HSI,0.00019851787374491892,-0.43606349175667203,-4.9686575033856616e-05,-1,0
IMOEX.ME+^DJI->399001.SZ+^GSPC,^N225+^NZ50->IMOEX.ME+^STI,0.00021971956009281257,-0.31730126512079115,-5.498399246798926e-05,-1,0
^N225+^NZ50->000001.SS+^HSI,^AXJO+^NZ50->^HSI+^KS11,2.765612077126889e-06,0.5403198782346701,-6.686989865510411e-07,1,0
^N225+^NZ50->000001.SS+^HSI,^KS11+^N225->399001.SZ+^STOXX50E,0.00011021017645873599,0.7869953159763463,-2.7530837449255777e-05,1,0
^N225+^NZ50->000001.SS+^HSI,^N225+^NZ50->IMOEX.ME+^HSI,0.00020326079264521013,0.5784367586812087,-5.081760475857198e-05,1,0
^AXJO+^NZ50->^HSI+^KS11,^AXJO+^N225->399001.SZ+^HSI,9.522643683368415e-06,-0.5982206638688874,-2.408027345571467e-06,-1,0
^AXJO+^NZ50->^HSI+^KS11,^N225+^NZ50->IMOEX.ME+^KS11,2.4866113754740127e-05,-0.30903749491955257,-6.233612427536275e-06,-1,0
^AXJO+^NZ50->^HSI+^KS11,^N225+^NZ50->IMOEX.ME+^STOXX50E,2.7367318590876266e-05,-0.6108297039088495,-6.873002508122142e-06,-1,0
^AXJO+^NZ50->^HSI+^KS11,^AXJO+^N225->^HSI+^KS11,3.885438679418485e-05,-0.6048971726460736,-9.746620561322528e-06,-1,0
^AXJO+^NZ50->^HSI+^KS11,^KS11+^NZ50->399001.SZ+^STOXX50E,6.621486275193433e-05,-0.5174485341454762,-1.658759994370261e-05,-1,0
^AXJO+^NZ50->^HSI+^KS11,^KS11+^NZ50->IMOEX.ME+^STOXX50E,0.0001117815432394309,-0.5524763150284906,-2.7989639319716056e-05,-1,0
^AXJO+^NZ50->^HSI+^KS11,^KS11+^N225->IMOEX.ME+^HSI,0.00018899066459709957,-0.6065170044142444,-4.7310763543836236e-05,-1,0
^AXJO+^NZ50->^HSI+^KS11,^N225+^NZ50->IMOEX.ME+^STI,0.00021019235094499322,-0.4877547777783635,-5.260818097796888e-05,-1,0
^AXJO+^NZ50->^HSI+^KS11,^KS11+^N225->IMOEX.ME+^STI,0.0002239040521807567,-0.41375119449273634,-5.6034096221591566e-05,-1,0
^AXJO+^NZ50->^HSI+^KS11,^KS11+^N225->000001.SS+^HSI,0.0003029452942406863,-0.44566936155864123,-7.581303560910848e-05,-1,0
^AXJO+^N225->399001.SZ+^HSI,^N225+^NZ50->IMOEX.ME+^KS11,1.5343470071371712e-05,0.28918316894933477,-3.8255850819648085e-06,1,0
^AXJO+^N225->399001.SZ+^HSI,^KS11+^N225->399001.SZ+^STOXX50E,9.792192069824068e-05,0.8448961016105636,-2.445411111713327e-05,1,0
^AXJO+^N225->399001.SZ+^HSI,^N225+^NZ50->IMOEX.ME+^HSI,0.00019097253688471483,0.636337544315426,-4.774087842644947e-05,1,0
^AXJO+^N225->399001.SZ+^HSI,^KS11+^NZ50->399001.SZ+IMOEX.ME,0.00030279874508920557,0.4348772715748772,-7.572975668959918e-05,1,0
^N225+^NZ50->IMOEX.ME+^KS11,^N225+^NZ50->IMOEX.ME+^STOXX50E,2.5012048361361394e-06,-0.3017922089892969,-6.393900805858662e-07,-1,0
^N225+^NZ50->IMOEX.ME+^KS11,^AXJO+^N225->^HSI+^KS11,1.398827303944472e-05,-0.29585967772652105,-3.5130081337862522e-06,-1,0
^N225+^NZ50->IMOEX.ME+^KS11,^KS11+^N225->399001.SZ+^STOXX50E,8.257845062686897e-05,0.5557129326612288,-2.062852603516846e-05,1,0
^N225+^NZ50->IMOEX.ME+^KS11,^KS11+^N225->IMOEX.ME+^HSI,0.00016412455084235944,-0.2974795094946919,-4.107715111629996e-05,-1,0
^N225+^NZ50->IMOEX.ME+^KS11,^N225+^NZ50->IMOEX.ME+^HSI,0.00017562906681334312,0.3471543753660912,-4.3915293344484665e-05,1,0
^N225+^NZ50->IMOEX.ME+^KS11,IMOEX.ME+^IXIC->399001.SZ+^DJI,0.00030582803196921304,0.37452084145839426,-7.648299357523348e-05,1,0
^N225+^NZ50->IMOEX.ME+^STOXX50E,^KS11+^N225->399001.SZ+^STOXX50E,8.007724579073283e-05,0.8575051416505257,-1.9989135954582595e-05,1,0
^N225+^NZ50->IMOEX.ME+^STOXX50E,^N225+^NZ50->IMOEX.ME+^HSI,0.00017312786197720698,0.6489465843553881,-4.32759032638988e-05,1,0
^N225+^NZ50->IMOEX.ME+^STOXX50E,^KS11+^NZ50->399001.SZ+IMOEX.ME,0.0002849540701816977,0.4474863116148393,-7.126478152704851e-05,1,0
^N225+^NZ50->IMOEX.ME+^STOXX50E,IMOEX.ME+^IXIC->399001.SZ+^DJI,0.0003033268271330769,0.6763130504476912,-7.584360349464762e-05,1,0
^AXJO+^N225->^HSI+^KS11,^KS11+^N225->399001.SZ+^STOXX50E,6.859017758742425e-05,0.8515726103877498,-1.711551790138221e-05,1,0
^AXJO+^N225->^HSI+^KS11,^N225+^NZ50->IMOEX.ME+^HSI,0.0001616407937738984,0.6430140530926122,-4.040228521069841e-05,1,0
^AXJO+^N225->^HSI+^KS11,^KS11+^NZ50->399001.SZ+IMOEX.ME,0.00027346700197838913,0.4415537803520635,-6.839116347384812e-05,1,0
^AXJO+^N225->^HSI+^KS11,IMOEX.ME+^IXIC->399001.SZ+^DJI,0.0002918397589297683,0.6703805191849153,-7.296998544144723e-05,1,0
^KS11+^NZ50->399001.SZ+^STOXX50E,^KS11+^N225->399001.SZ+^STOXX50E,4.1229701629674764e-05,0.7641239718871524,-1.0274538519002127e-05,1,0
^KS11+^NZ50->399001.SZ+^STOXX50E,^N225+^NZ50->IMOEX.ME+^HSI,0.0001342803178161489,0.5555654145920148,-3.356130582831833e-05,1,0
^KS11+^NZ50->399001.SZ+^STOXX50E,^KS11+^NZ50->399001.SZ+IMOEX.ME,0.00024610652602063965,0.3541051418514661,-6.155018409146804e-05,1,0
^KS11+^NZ50->399001.SZ+^STOXX50E,IMOEX.ME+^IXIC->399001.SZ+^DJI,0.00026447928297201884,0.5829318806843179,-6.612900605906715e-05,1,0
^KS11+^N225->399001.SZ+^STOXX50E,^KS11+^NZ50->IMOEX.ME+^STOXX50E,4.336978857821805e-06,-0.7991517527701668,-1.1275008570113196e-06,-1,0
^KS11+^N225->399001.SZ+^STOXX50E,^KS11+^N225->IMOEX.ME+^HSI,8.154610021549047e-05,-0.8531924421559206,-2.04486250811315e-05,-1,0
^KS11+^N225->399001.SZ+^STOXX50E,^N225+^NZ50->IMOEX.ME+^STI,0.00010274778656338412,-0.7344302155200397,-2.5746042515264144e-05,-1,0
^KS11+^N225->399001.SZ+^STOXX50E,^KS11+^N225->IMOEX.ME+^STI,0.00011645948779914761,-0.6604266322344126,-2.917195775888683e-05,-1,0
^KS11+^N225->399001.SZ+^STOXX50E,^KS11+^N225->000001.SS+^HSI,0.00019550072985907718,-0.6923447993003174,-4.895089714640374e-05,-1,0
^KS11+^N225->399001.SZ+^STOXX50E,^KS11+^NZ50->399001.SZ+IMOEX.ME,0.00020487682439096488,-0.41001883003568634,-5.1275645572465914e-05,-1,0
^KS11+^N225->399001.SZ+^STOXX50E,^KS11+^NZ50->000001.SS+^STOXX50E,0.0002732051730944818,-0.3361559570977649,-6.836446038650481e-05,-1,0
^KS11+^NZ50->IMOEX.ME+^STOXX50E,^N225+^NZ50->IMOEX.ME+^HSI,8.871363732865234e-05,0.5905931954750292,-2.2159266452304884e-05,1,0
^KS11+^NZ50->IMOEX.ME+^STOXX50E,^KS11+^NZ50->399001.SZ+IMOEX.ME,0.00020053984553314308,0.3891329227344805,-5.0148144715454594e-05,1,0
^KS11+^NZ50->IMOEX.ME+^STOXX50E,IMOEX.ME+^IXIC->399001.SZ+^DJI,0.00021891260248452227,0.6179596615673323,-5.4726966683053704e-05,1,0
^KS11+^NZ50->IMOEX.ME+^STOXX50E,^KS11+^NZ50->000001.SS+^STOXX50E,0.00026886819423666,0.4629957956724019,-6.723695952949349e-05,1,0
^KS11+^N225->IMOEX.ME+^HSI,^N225+^NZ50->IMOEX.ME+^HSI,1.1504515970983675e-05,0.644633884860783,-2.8381422281847034e-06,1,0
^KS11+^N225->IMOEX.ME+^HSI,^KS11+^NZ50->399001.SZ+IMOEX.ME,0.00012333072417547442,0.4431736121202343,-3.082702049133441e-05,1,0
^KS11+^N225->IMOEX.ME+^HSI,IMOEX.ME+^IXIC->399001.SZ+^DJI,0.0001417034811268536,0.6720003509530861,-3.5405842458933524e-05,1,0
^KS11+^N225->IMOEX.ME+^HSI,^KS11+^NZ50->000001.SS+^STOXX50E,0.0001916590728789913,0.5170364850581557,-4.791583530537331e-05,1,0
^KS11+^N225->IMOEX.ME+^HSI,^AXJO+^NZ50->^STI+^STOXX50E,0.0002479456972288574,0.8295602254625986,-6.196966345416735e-05,1,0
^N225+^NZ50->IMOEX.ME+^HSI,^N225+^NZ50->IMOEX.ME+^STI,9.69717037690998e-06,-0.5258716582249021,-2.45927520594794e-06,-1,0
^N225+^NZ50->IMOEX.ME+^HSI,^KS11+^N225->IMOEX.ME+^STI,2.3408871612673465e-05,-0.45186807493927494,-5.885190449570626e-06,-1,0
^N225+^NZ50->IMOEX.ME+^HSI,^KS11+^N225->000001.SS+^HSI,0.00010245011367260304,-0.48378624200517983,-2.5664129837087537e-05,-1,0
^N225+^NZ50->IMOEX.ME+^HSI,^DJI+^HSI->^GSPC+^KS11,0.0002168633649120011,-0.4262673280002728,-5.428819817551424e-05,-1,0
^N225+^NZ50->IMOEX.ME+^HSI,^KS11+^N225->IMOEX.ME+^STOXX50E,0.00022362558018684808,-0.5662737195216516,-5.599281006010313e-05,-1,0
^N225+^NZ50->IMOEX.ME+^STI,^KS11+^NZ50->399001.SZ+IMOEX.ME,0.00010212903782758076,0.32441138548435344,-2.552960305720177e-05,1,0
^N225+^NZ50->IMOEX.ME+^STI,IMOEX.ME+^IXIC->399001.SZ+^DJI,0.00012050179477895995,0.5532381243172052,-3.010842502480088e-05,1,0
^N225+^NZ50->IMOEX.ME+^STI,^KS11+^NZ50->000001.SS+^STOXX50E,0.00017045738653109765,0.3982742584222748,-4.2618417871240666e-05,1,0
^N225+^NZ50->IMOEX.ME+^STI,^AXJO+^NZ50->^STI+^STOXX50E,0.00022674401088096374,0.7107979988267177,-5.667224602003471e-05,1,0
^KS11+^N225->IMOEX.ME+^STI,IMOEX.ME+^IXIC->399001.SZ+^DJI,0.00010679009354319646,0.47923454103157803,-2.6682509781178194e-05,1,0
^KS11+^N225->IMOEX.ME+^STI,^KS11+^NZ50->000001.SS+^STOXX50E,0.00015674568529533417,0.32427067513664765,-3.919250262761798e-05,1,0
^KS11+^N225->IMOEX.ME+^STI,^AXJO+^NZ50->^STI+^STOXX50E,0.00021303230964520026,0.6367944155410905,-5.324633077641202e-05,1,0
^KS11+^N225->000001.SS+^HSI,^KS11+^NZ50->399001.SZ+IMOEX.ME,9.376094531887702e-06,0.28232596926463116,-2.324748426062173e-06,1,0
^KS11+^N225->000001.SS+^HSI,IMOEX.ME+^IXIC->399001.SZ+^DJI,2.774885148326689e-05,0.5111527080974829,-6.903570393661284e-06,1,0
^KS11+^N225->000001.SS+^HSI,^KS11+^NZ50->000001.SS+^STOXX50E,7.77044432354046e-05,0.35618884220255254,-1.941356324010107e-05,1,0
^KS11+^N225->000001.SS+^HSI,^AXJO+^NZ50->^STI+^STOXX50E,0.00013399106758527068,0.6687125826069954,-3.346739138889511e-05,1,0
^KS11+^N225->000001.SS+^HSI,^N225+^NZ50->^HSI+^KS11,0.00027221916289832393,0.5445645910987209,-6.806008052233256e-05,1,0
^KS11+^N225->000001.SS+^HSI,^AXJO+^KS11->^STI+^STOXX50E,0.000273988692086391,0.585613468875041,-6.849826511530038e-05,1,0
^KS11+^NZ50->399001.SZ+IMOEX.ME,^KS11+^N225->IMOEX.ME+^STOXX50E,0.00011179937198235734,-0.3648134467811029,-2.800393179695342e-05,-1,0
^KS11+^NZ50->399001.SZ+IMOEX.ME,^AXJO+^NZ50->^STI+^STOXX50E,0.00012461497305338298,0.3863866133423643,-3.114264296283294e-05,1,0
^KS11+^NZ50->399001.SZ+IMOEX.ME,^N225+^NZ50->399001.SZ+^HSI,0.00020383707267512818,-0.4515210222382714,-5.10457132778799e-05,-1,0
^KS11+^NZ50->399001.SZ+IMOEX.ME,^AXJO+^KS11->IMOEX.ME+^HSI,0.00021115487069778283,-0.4427798103938103,-5.287628995631014e-05,-1,0
^KS11+^NZ50->399001.SZ+IMOEX.ME,^AXJO+^NZ50->IMOEX.ME+^HSI,0.00026130565233017933,-0.28277972939984064,-6.541050932255273e-05,-1,0
^KS11+^NZ50->399001.SZ+IMOEX.ME,^N225+^NZ50->^HSI+^KS11,0.00026284306836643623,0.2622386218340898,-6.573533209627038e-05,1,0
^KS11+^NZ50->399001.SZ+IMOEX.ME,^AXJO+^KS11->^STI+^STOXX50E,0.0002646125975545033,0.30328749961040985,-6.617351668923821e-05,1,0
^KS11+^NZ50->399001.SZ+IMOEX.ME,^DJI+^STI->^AXJO+^GSPC,0.0002826081486873022,-0.3488507234900994,-7.07492199283198e-05,-1,0
IMOEX.ME+^IXIC->399001.SZ+^DJI,^DJI+^HSI->^GSPC+^KS11,8.666439975613116e-05,-0.45363379409257587,-2.172049794476542e-05,-1,0
IMOEX.ME+^IXIC->399001.SZ+^DJI,^KS11+^N225->IMOEX.ME+^STOXX50E,9.342661503097816e-05,-0.5936401856139547,-2.342510982935431e-05,-1,0
IMOEX.ME+^IXIC->399001.SZ+^DJI,^N225+^NZ50->399001.SZ+^HSI,0.000185464315723749,-0.6803477610711232,-4.646689131028079e-05,-1,0
IMOEX.ME+^IXIC->399001.SZ+^DJI,^AXJO+^KS11->IMOEX.ME+^HSI,0.00019278211374640364,-0.6716065492266622,-4.829746798871103e-05,-1,0
IMOEX.ME+^IXIC->399001.SZ+^DJI,^AXJO+^NZ50->IMOEX.ME+^HSI,0.00024293289537880014,-0.5116064682326925,-6.083168735495362e-05,-1,0
IMOEX.ME+^IXIC->399001.SZ+^DJI,^DJI+^STI->^AXJO+^GSPC,0.00026423539173592303,-0.5776774623229511,-6.617039796072069e-05,-1,0
^KS11+^NZ50->000001.SS+^STOXX50E,^DJI+^HSI->^GSPC+^KS11,3.6708808003993454e-05,-0.2986699281976455,-9.210505098325634e-06,-1,0
^KS11+^NZ50->000001.SS+^STOXX50E,^KS11+^N225->IMOEX.ME+^STOXX50E,4.347102327884045e-05,-0.4386763197190243,-1.0915116982914525e-05,-1,0
^KS11+^NZ50->000001.SS+^STOXX50E,^AXJO+^NZ50->^STI+^STOXX50E,5.628662434986609e-05,0.31252374040444286,-1.4053828148794043e-05,1,0
^KS11+^NZ50->000001.SS+^STOXX50E,^N225+^NZ50->399001.SZ+^HSI,0.0001355087239716113,-0.5253838951761928,-3.3956898463841e-05,-1,0
^KS11+^NZ50->000001.SS+^STOXX50E,^AXJO+^KS11->IMOEX.ME+^HSI,0.00014282652199426593,-0.5166426833317318,-3.5787475142271246e-05,-1,0
^KS11+^NZ50->000001.SS+^STOXX50E,^AXJO+^NZ50->IMOEX.ME+^HSI,0.00019297730362666243,-0.3566426023377621,-4.832169450851384e-05,-1,0
^KS11+^NZ50->000001.SS+^STOXX50E,^DJI+^STI->^AXJO+^GSPC,0.00021427979998378532,-0.4227135964280208,-5.3660405114280905e-05,-1,0
^KS11+^NZ50->000001.SS+^STOXX50E,^KS11+^N225->399001.SZ+^N100,0.0002703475669640909,0.38228448651036573,-6.759558681286446e-05,1,0
^KS11+^NZ50->000001.SS+^STOXX50E,^DJI+^KS11->^GSPC+^STI,0.00027336017695489545,-0.3996415976318557,-6.844429994618342e-05,-1,0
^KS11+^NZ50->000001.SS+^STOXX50E,^HSI+^KS11->IMOEX.ME+^STI,0.0002904113992343582,-0.5204562396591221,-7.272695459223486e-05,-1,0
^KS11+^NZ50->000001.SS+^STOXX50E,^KS11+^N100->^N225+^STOXX50E,0.0003008215921624924,-0.48861868633200106,-7.532867649090517e-05,-1,0
^KS11+^NZ50->000001.SS+^STOXX50E,^HSI+^N225->IMOEX.ME+^STI,0.00030433501898841087,-0.5133524956747114,-7.621121677870682e-05,-1,0
^DJI+^HSI->^GSPC+^KS11,^AXJO+^NZ50->^STI+^STOXX50E,1.9577816345872634e-05,0.6111936686020883,-4.8433230504684095e-06,1,0
^DJI+^HSI->^GSPC+^KS11,^N225+^NZ50->^HSI+^KS11,0.00015780591165892588,0.48704567709381386,-3.9436012183905855e-05,1,0
^DJI+^HSI->^GSPC+^KS11,^AXJO+^KS11->^STI+^STOXX50E,0.00015957544084699293,0.5280945548701339,-3.987419677687368e-05,1,0
^DJI+^HSI->^GSPC+^KS11,IMOEX.ME+^STOXX50E->^DJI+^NZ50,0.00019428326495685155,0.42274702483373383,-4.8569575626493996e-05,1,0
^DJI+^HSI->^GSPC+^KS11,^AXJO+^N225->399001.SZ+^STOXX50E,0.0002127168873258256,0.4809224262442776,-5.317479636350527e-05,1,0
^DJI+^HSI->^GSPC+^KS11,^KS11+^N225->399001.SZ+^N100,0.00023363875896009745,0.6809544147080112,-5.8385081714538826e-05,1,0
^DJI+^HSI->^GSPC+^KS11,^KS11+^N225->^AXJO+^NZ50,0.0002580106277214611,0.3066570248491475,-6.452880955398087e-05,1,0
^DJI+^HSI->^GSPC+^KS11,^AXJO+^KS11->^N100+^STI,0.00029890707843449604,0.3298610762673,-7.475916474085587e-05,1,0
^DJI+^HSI->^GSPC+^KS11,^N225+^NZ50->399001.SZ+^STOXX50E,0.0003043591076234975,0.45279616428737035,-7.610717871373143e-05,1,0
